"0000;Tren arriba;tren arriba",
"0001;Tren abajo;tren abajo",
"0002;Flaps arriba;flaps arriba",
"0003;Flaps abajo;flaps abajo",
"0004;Aterrizaje;aterrizaje",
"0005;Déspegue;déspegue",
"0006;Alumno;Alumno",
"0007;Profesor;con permiso !",
"0008;Motor cortado;motor cortado",
"0009;Motor arrancado;motor arrancado !",
"0010;flaps en 1;flaps en 1",
"0011;flaps en 2;flaps en 2",
"0012;modo térmico;mode térmico",
"0013;modo busqueda;modo busqueda",
"0014;modo crou;modo crou",
"0015;modo velocidad;modo velocidad",
"0016;modo snapflap;modo snapflap",
"0017;libre 17;libre 17",
"0018;libre 18;libre 18",
"0019;libre 19;libre 19",
"0020;fase de vuelo 0;fase de vuelo 0",
"0021;fase de vuelo 1;fase de vuelo 1",
"0022;fase de vuelo 2;fase de vuelo 2",
"0023;fase de vuelo 3;fase de vuelo 3",,
"0024;fase de vuelo 4;fase de vuelo 4",
"0025;fase de vuelo 5;fase de vuelo 5",
"0026;fase de vuelo;fase de vuelo",
"0027;principio;principio",
"0028;fin;fin",
"0029;libre 29;libre 29",
"0030;modo acro;modo acro",
"0031;modo estable;modo estable",
"0032;baro activado;barometro activado",
"0033;baro désactivado;barometro desactivado",
"0034;compas activado;compas activado",
"0035;compas désactivado;compas désactivado",
"0036;headfree activado;jed fri activado",
"0037;headfree desactivado;jed fri desactivado",
"0038;GPS old;GPS old",
"0039;Fin GPS hold;Fin de GPS jold",
"0040;Vuelta a casa;vuelta a casa",
"0041;Vuelta a casa anulada;vuelta a casa anulada",
"0042;libre 42;libre 42",
"0043;libre 43;libre 43",
"0044;libre 44;libre 44",
"0045;libre 45;libre 45",
"0046;libre 46;libre 46",
"0047;libre 47;libre 47",
"0048;libre 48;libre 48",
"0049;libre 49;libre 49",
"0050;libre 50;libre 50",
"0051;libre 51;libre 51",
"0052;libre 52;libre 52",
"0053;libre 53;libre 53",
"0054;libre 54;libre 54",
"0055;libre 55;libre 55",
"0056;libre 56;libre 56",
"0057;libre 57;libre 57",
"0058;libre 58;libre 58",
"0059;libre 59;libre 59",
"0060;libre 60;libre 60",
"0061;libre 61;libre 61",
