Train rentre;Train rentré
Train sorti;Train sorti
Volet rentre;Volet rentré
Volet sorti;Volet sorti
Aterrissage;Aterrissage
Decolage;Décolage
Ecolage;Ecolage
Fin ecolage;Fin écolage
Moteur coupe;Moteur coupé
Moteur arme;Moteur armé
volet position 1;volet position 1
volet position 2;volet position 2
mode gratte;mode gratte
mode finesse;mode finesse
mode papillon;mode papillon
mode vitesse;mode vitesse
mode snapflap;mode snapflap
libre 17;libre 17
libre 18;libre 18
libre 19;libre 19
Phase de vol 0;Phase de vol 0
phase de vol 1;phase de vol 1
phase de vol 2;phase de vol 2
phase de vol 3;phase de vol 3
phase de vol 4;phase de vol 4
phase de vol 5;phase de vol 5
phase de vol;phase de vol
debut;début
fin;fin
libre 29;libre 29
mode acro;mode acro
mode stable;mode stable
baro active;baro activé
baro desactive;baro désactivé
compas active;compas activé
compas desactive;compas désactivé
headfree active;headfree activé
headfree desactive;headfree désactivé
GPS hold;GPS hold
Fin GPS hold;Fin GPS hold
Retour maison;Retour maison
Retour maison annule;Retour maison annulé
libre 42;libre 42
libre 43;libre 43
libre 44;libre 44
libre 45;libre 45
libre 46;libre 46
libre 47;libre 47
libre 48;libre 48
libre 49;libre 49
libre 50;libre 50
libre 51;libre 51
libre 52;libre 52
libre 53;libre 53
libre 54;libre 54
libre 55;libre 55
libre 56;libre 56
libre 57;libre 57
libre 58;libre 58
libre 59;libre 59
libre 60;libre 60
libre 61;libre 61
libre 62;libre 62
libre 63;libre 63
libre 64;libre 64
libre 65;libre 65
libre 66;libre 66
libre 67;libre 67
libre 68;libre 68
libre 69;libre 69
libre 70;libre 70
libre 71;libre 71
libre 72;libre 72
libre 73;libre 73
libre 74;libre 74
libre 75;libre 75
libre 76;libre 76
libre 77;libre 77
libre 78;libre 78
libre 79;libre 79
libre 80;libre 80
libre 81;libre 81
libre 82;libre 82
libre 83;libre 83
libre 84;libre 84
libre 85;libre 85
libre 86;libre 86
libre 87;libre 87
libre 88;libre 88
libre 89;libre 89
libre 90;libre 90
libre 91;libre 91
libre 92;libre 92
libre 93;libre 93
libre 94;libre 94
libre 95;libre 95
libre 96;libre 96
libre 97;libre 97
libre 98;libre 98
libre 99;libre 99
tu pilote comme un dieu !;tu pilote comme un dieu !
ton voisin pilote comme un manche !;ton voisin pilote comme un manche !
libre 102;libre 102
libre 103;libre 103
libre 104;libre 104
libre 105;libre 105
libre 106;libre 106
libre 107;libre 107
libre 108;libre 108
libre 109;libre 109
libre 110;libre 110
libre 111;libre 111
libre 112;libre 112
libre 113;libre 113
libre 114;libre 114
libre 115;libre 115
libre 116;libre 116
libre 117;libre 117
libre 118;libre 118
libre 119;libre 119
libre 120;libre 120
libre 121;libre 121
libre 122;libre 122
libre 123;libre 123
libre 124;libre 124
libre 125;libre 125
libre 126;libre 126
libre 127;libre 127
libre 128;libre 128
libre 129;libre 129
libre 130;libre 130
libre 131;libre 131
libre 132;libre 132
libre 133;libre 133
libre 134;libre 134
libre 135;libre 135
libre 136;libre 136
libre 137;libre 137
libre 138;libre 138
libre 139;libre 139
libre 140;libre 140
libre 141;libre 141
libre 142;libre 142
libre 143;libre 143
libre 144;libre 144
libre 145;libre 145
libre 146;libre 146
libre 147;libre 147
libre 148;libre 148
libre 149;libre 149
libre 150;libre 150
libre 151;libre 151
libre 152;libre 152
libre 153;libre 153
libre 154;libre 154
libre 155;libre 155
libre 156;libre 156
libre 157;libre 157
libre 158;libre 158
libre 159;libre 159
libre 160;libre 160
libre 161;libre 161
libre 162;libre 162
libre 163;libre 163
libre 164;libre 164
libre 165;libre 165
libre 166;libre 166
libre 167;libre 167
libre 168;libre 168
libre 169;libre 169
libre 170;libre 170
libre 171;libre 171
libre 172;libre 172
libre 173;libre 173
libre 174;libre 174
libre 175;libre 175
libre 176;libre 176
libre 177;libre 177
libre 178;libre 178
libre 179;libre 179
libre 180;libre 180
libre 181;libre 181
libre 182;libre 182
libre 183;libre 183
libre 184;libre 184
libre 185;libre 185
libre 186;libre 186
libre 187;libre 187
libre 188;libre 188
libre 189;libre 189
libre 190;libre 190
libre 191;libre 191
libre 192;libre 192
libre 193;libre 193
libre 194;libre 194
libre 195;libre 195
libre 196;libre 196
libre 197;libre 197
libre 198;libre 198
libre 199;libre 199
Modele choisi;Modèle choisi
Modele 1;Modèle 1
Modele 2;Modèle 2
Modele 3;Modèle 3
Modele 4;Modèle 4
Modele 5;Modèle 5
Modele 6;Modèle 6
Modele 7;Modèle 7
Modele 8;Modèle 8
Modele 9;Modèle 9
Modele 10;Modèle 10
Modele 11;Modèle 11
Modele 12;Modèle 12
Modele 13;Modèle 13
Modele 14;Modèle 14
Modele 15;Modèle 15
Modele 16;Modèle 16
Modele 17;Modèle 17
Modele 18;Modèle 18
Modele 19;Modèle 19
Modele 20;Modèle 20
Modele 21;Modèle 21
Modele 22;Modèle 22
Modele 23;Modèle 23
Modele 24;Modèle 24
Modele 25;Modèle 25
Modele 26;Modèle 26
Modele 27;Modèle 27
Modele 28;Modèle 28
Modele 29;Modèle 29
Modele 30;Modèle 30
Modele 31;Modèle 31
Modele 32;Modèle 32
Modele 33;Modèle 33
Modele 34;Modèle 34
Modele 35;Modèle 35
Modele 36;Modèle 36
Modele 37;Modèle 37
Modele 38;Modèle 38
Modele 39;Modèle 39
Modele 40;Modèle 40
Modele 41;Modèle 41
Modele 42;Modèle 42
Modele 43;Modèle 43
Modele 44;Modèle 44
Modele 45;Modèle 45
Modele 46;Modèle 46
Modele 47;Modèle 47
Modele 48;Modèle 48
Modele 49;Modèle 49
Modele 50;Modèle 50
Modele 51;Modèle 51
Modele 52;Modèle 52
Modele 53;Modèle 53
Modele 54;Modèle 54
Modele 55;Modèle 55
0;0
1;1
2;2
3;3
4;4
5;5
6;6
7;7
8;8
9;9
10;10
11;11
12;12
13;13
14;14
15;15
16;16
17;17
18;18
19;19
20;20
21;21
22;22
23;23
24;24
25;25
26;26
27;27
28;28
29;29
30;30
31;31
32;32
33;33
34;34
35;35
36;36
37;37
38;38
39;39
40;40
41;41
42;42
43;43
44;44
45;45
46;46
47;47
48;48
49;49
50;50
51;51
52;52
53;53
54;54
55;55
56;56
57;57
58;58
59;59
60;60
61;61
62;62
63;63
64;64
65;65
66;66
67;67
68;68
69;69
70;70
71;71
72;72
73;73
74;74
75;75
76;76
77;77
78;78
79;79
80;80
81;81
82;82
83;83
84;84
85;85
86;86
87;87
88;88
89;89
90;90
91;91
92;92
93;93
94;94
95;95
96;96
97;97
98;98
99;99
100;100
200;200
300;300
400;400
500;500
600;600
700;700
800;800
900;900
mille;mille
une;une
onze;onze
vingt et une;vingt et une
trente et une;trente et une
quarante et une;quarante et une
cinquante et une;cinquante et une
soixante et une;soixante et une
soixante et onze;soixante et onze
quatre vingt une;quatre vingt une
virgule;virgule
et;et
moins;moins
minuit;minuit
midi;midi
libre 380;libre 380
volts;volts
ampères;ampères
mètres par seconde;mètres par seconde
libre 384;libre 384
kilomètre heure;kilomètre heure
mètres;mètres
degres;degrés
pourcent;pourcent
milliampère;milliampère
milliampères heure;milliampères heure
watt;watt
db;db
pied;pied
noeud;noeud
heure;heure
minute;minute
secondes;secondes
tour par minute;tour par minute
g;g
libre 400;libre 400
libre 401;libre 401
libre 402;libre 402
libre 403;libre 403
libre 404;libre 404
libre 405;libre 405
libre 406;libre 406
libre 407;libre 407
libre 408;libre 408
libre 409;libre 409
libre 410;libre 410
libre 411;libre 411
libre 412;libre 412
libre 413;libre 413
libre 414;libre 414
libre 415;libre 415
libre 416;libre 416
libre 417;libre 417
libre 418;libre 418
libre 419;libre 419
libre 420;libre 420
libre 421;libre 421
libre 422;libre 422
libre 423;libre 423
libre 424;libre 424
libre 425;libre 425
libre 426;libre 426
libre 427;libre 427
libre 428;libre 428
libre 429;libre 429
libre 430;libre 430
libre 431;libre 431
libre 432;libre 432
libre 433;libre 433
libre 434;libre 434
libre 435;libre 435
virgule 0;virgule 0
virgule 1;virgule 1
virgule 2;virgule 2
virgule 3;virgule 3
virgule 4;virgule 4
virgule 5;virgule 5
virgule 6;virgule 6
virgule 7;virgule 7
virgule 8;virgule 8
virgule 9;virgule 9
libre 446;libre 446
libre 447;libre 447
libre 448;libre 448
libre 449;libre 449
libre 450;libre 450
libre 451;libre 451
libre 452;libre 452
libre 453;libre 453
libre 454;libre 454
libre 455;libre 455
libre 456;libre 456
libre 457;libre 457
libre 458;libre 458
libre 459;libre 459
libre 460;libre 460
libre 461;libre 461
libre 462;libre 462
libre 463;libre 463
libre 464;libre 464
libre 465;libre 465
libre 466;libre 466
libre 467;libre 467
libre 468;libre 468
libre 469;libre 469
libre 470;libre 470
libre 471;libre 471
libre 472;libre 472
libre 473;libre 473
libre 474;libre 474
libre 475;libre 475
libre 476;libre 476
libre 477;libre 477
libre 478;libre 478
libre 479;libre 479
Bienvenue;Bienvenue sur Open A Vé R c !
Alerte manche des gaz;Alerte manche des gaz
Alerte inters;Alerte inters
Eeprom corrompue;Eeprom corrompue
Formatage eeprom;Formatage eeprom
