"Id";"Référence";"Boitier";"Quantité";"Désignation";"Fournisseur et réf.";
1;"U4";"Pm5033_sil5";1;"PM5033";;;
2;"R6,R5";"R_1206";2;"4K7";;;
3;"Q1";"SOT-23_MOS_P";1;"BSS84";;;
4;"R40";"R_1206";1;"100";;;
5;"R39,R35,R26,R29,R32";"R_1206";5;"47K";;;
6;"D1,D2,D6";"D_SOD-123";3;"MBR0520";;;
7;"R38,R21";"R_1206";2;"4,7K";;;
8;"U3";"SOP4";1;"TLP290";;;
9;"P16";"Pin_Header_Straight_2x10_Pitch2.54mm";1;"LCD";;;
10;"P1";"Connectors-2560-core";1;"2560-core";;;
11;"P32";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"Pot1";;;
12;"P22";"connector_mini-JQ6500-28P";1;"JQ6500_28P";;;
13;"U1";"SOT-457";1;"74LVC1G3157GV";;;
14;"C24,C23,C22,C21,C20,C19,C18,C15,C14,C13,C12,C10,C1,C16,C29,C38,C34,C33,C32,C31,C27,C26,C17,C11,C9,C5,C3,C2,C4,C6";"C_1206";30;"100nF";;;
15;"P21";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"Sw_power";;;
16;"R8";"R_1206";1;"200";;;
17;"U7";"SOIC-8-FRAM_DI";1;"FM24W256";;;
18;"R20,R15";"R_1206";2;"10K";;;
19;"BT1";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"CR2032";;;
20;"P4";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"Pot3";;;
21;"R10,R1";"R_1206";2;"22K";;;
22;"P31";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"Pot2";;;
23;"P13";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"Stick_right";;;
24;"P12";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"Stick_left";;;
25;"U6";"SOP14";1;"MCP604-I/SL";;;
26;"P17";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"BATT";;;
27;"P24";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"Rot_2";;;
28;"P25";"Pin_Header_Straight_2x04_Pitch2.54mm";1;"Keys";;;
29;"P30";"MiniDCDC3A";1;"MiniDCDC3A";;;
30;"P10";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"RX1TX1";;;
31;"RV6";"Potentiometer_Trimmer_Bourns_3296W";1;"22K";;;
32;"RV1";"Potentiometer_Trimmer_Bourns_3296W";1;"220K";;;
33;"Fix1,Fix3,Fix2";"MountingHole_3.2mm_M3";3;"MountingHole_3.2mm_M3";;;
34;"P27";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"HP";;;
35;"R18,R22,R19,R23";"R_1206";4;"5.1k";;;
36;"R36,R27,R30,R33";"Potentiometer_Trimmer_Bourns_3296W";4;"100K";;;
37;"U5";"SOT-223";1;"LD1117S33TR";;;
38;"C46,C45,C43,C44";"C_1206";4;"22nF";;;
39;"R14,R28,R31,R34,R37,R11,R12,R13";"R_1206";8;"120K";;;
40;"RV4,RV5,RV2,RV3";"Potentiometer_Bourns_3296W_3-8Zoll_Inline_ScrewUp";4;"100K";;;
41;"P15";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"LCD_I2C";;;
42;"P2";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"Clock";;;
43;"P11";"Pin_Header_Straight_2x05_Pitch2.54mm";1;"Trim";;;
44;"P14";"Pin_Header_Straight_2x05_Pitch2.54mm";1;"Switch";;;
45;"R16";"R_1206";1;"2.7K";;;
46;"R17";"R_1206";1;"5.1K";;;
47;"R2,R4";"R_1206";2;"1K";;;
48;"R3";"R_1206";1;"18K";;;
49;"C42";"C_1206";1;"6.8nF";;;
50;"R24";"R_1206";1;"82K";;;
51;"R25";"R_1206";1;"39K";;;
52;"P28";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"5v/3,3v manches";;;
53;"R7";"R_1206";1;"470";;;
54;"P18";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"Ecolage";;;
55;"P3";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"Option";;;
56;"P5";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"Vibreur";;;
57;"P6";"Pin_Header_Straight_1x06_Pitch2.54mm";1;"Micro_sd";;;
58;"P9";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"SPI";;;
59;"P8";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"Audio";;;
60;"P26";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"LCD_Alim";;;
61;"P23";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"Rot_1";;;
62;"W1,W2,W3,W4";"TESTPT";4;"TEST_2P";;;
63;"R9";"R_1206";1;"220";;;
64;"P19";"Pin_Header_Straight_2x04_Pitch2.54mm";1;"Module_TX";;;
65;"C28,C7";"CP_Elec_6.3x5.3";2;"100µF";;;
66;"C8";"CP_Elec_6.3x5.3";1;"47µF";;;
67;"P20";"Con_RS232_TTL";1;"TTL/RS232";;;
68;"U2";"SOP4";1;"TLP290";;;
69;"U8";"SO-16-DS3231";1;"DS3231SN";;;
70;"D4,D3";"D_SCD80_HandSoldering";2;"LL4148";;;
71;"P7";"Pin_Header_Straight_2x05_Pitch2.54mm";1;"SPIX";;;
