"Id";"Référence";"Boitier";"Quantité";"Désignation";"Fournisseur et réf.";
1;"P22";"connector_mini-JQ6500-28P";1;"JQ6500_28P";;;
2;"U1";"SOT-457";1;"74LVC1G3157GV";;;
3;"C24,C23,C22,C21,C20,C19,C18,C15,C14,C13,C12,C10,C1,C16,C29,C38,C34,C33,C32,C31,C27,C26,C17,C11,C9,C5,C3,C2,C4,C6";"C_1206";30;"100nF";;;
4;"REF**";"TO-92_Inline_Wide";1;"TO-92_Inline_Wide";;;
5;"P21";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"Sw_power";;;
6;"U9";"SO-16-N";1;"4050";;;
7;"R8";"R_1206";1;"200";;;
8;"U7";"SOIC-8-FRAM_DI";1;"FM24W256";;;
9;"R20,R15";"R_1206";2;"10K";;;
10;"BT1";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"CR2032";;;
11;"P1";"Connectors-2560-core";1;"2560-core";;;
12;"P4";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"Pot3";;;
13;"R10,R1";"R_1206";2;"22K";;;
14;"P32";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"Pot1";;;
15;"P31";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"Pot2";;;
16;"U4";"TO-220";1;"L4941";;;
17;"P13";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"Stick_right";;;
18;"P12";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"Stick_left";;;
19;"U6";"SOP14";1;"MCP604-I/SL";;;
20;"U3";"SOP4";1;"TLP290";;;
21;"P17";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"BATT";;;
22;"P24";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"Rot_2";;;
23;"P25";"Pin_Header_Straight_2x04_Pitch2.54mm";1;"Keys";;;
24;"P30";"MiniDCDC3A";1;"MiniDCDC3A";;;
25;"P10";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"RX1TX1";;;
26;"RV6";"Potentiometer_Trimmer_Bourns_3296W";1;"22K";;;
27;"RV1";"Potentiometer_Trimmer_Bourns_3296W";1;"220K";;;
28;"Fix1,Fix3,Fix2";"MountingHole_3.2mm_M3";3;"MountingHole_3.2mm_M3";;;
29;"P27";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"HP";;;
30;"R18,R22,R19,R23";"R_1206";4;"5.1k";;;
31;"D1,D2,D6";"D_SOD-123";3;"MBR0520";;;
32;"R35,R26,R29,R32";"R_1206";4;"47K";;;
33;"R36,R27,R30,R33";"Potentiometer_Trimmer_Bourns_3296W";4;"100K";;;
34;"P16";"Pin_Header_Straight_2x10_Pitch2.54mm";1;"LCD";;;
35;"U5";"SOT-223";1;"LD1117S33TR";;;
36;"C46,C45,C43,C44";"C_1206";4;"22nF";;;
37;"R14,R28,R31,R34,R37,R11,R12,R13";"R_1206";8;"120K";;;
38;"RV4,RV5,RV2,RV3";"Potentiometer_Bourns_3296W_3-8Zoll_Inline_ScrewUp";4;"100K";;;
39;"P15";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"LCD_I2C";;;
40;"P2";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"Clock";;;
41;"P11";"Pin_Header_Straight_2x05_Pitch2.54mm";1;"Trim";;;
42;"P14";"Pin_Header_Straight_2x05_Pitch2.54mm";1;"Switch";;;
43;"R16";"R_1206";1;"2.7K";;;
44;"R17";"R_1206";1;"5.1K";;;
45;"R2,R5,R4";"R_1206";3;"1K";;;
46;"R6";"R_1206";1;"2,2K";;;
47;"R3";"R_1206";1;"18K";;;
48;"C42";"C_1206";1;"6.8nF";;;
49;"R24";"R_1206";1;"82K";;;
50;"R25";"R_1206";1;"39K";;;
51;"P28";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"5v/3,3v manches";;;
52;"R7";"R_1206";1;"470";;;
53;"P18";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"Ecolage";;;
54;"P3";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"Option";;;
55;"P5";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"Vibreur";;;
56;"P6";"Pin_Header_Straight_1x06_Pitch2.54mm";1;"Micro_sd";;;
57;"P9";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"SPI";;;
58;"P8";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"Audio";;;
59;"P26";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"LCD_Alim";;;
60;"P23";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"Rot_1";;;
61;"W1,W2,W3,W4";"TESTPT";4;"TEST_2P";;;
62;"R9";"R_1206";1;"220";;;
63;"P19";"Pin_Header_Straight_2x04_Pitch2.54mm";1;"Module_TX";;;
64;"C28,C7";"CP_Elec_6.3x5.3";2;"100µF";;;
65;"C8";"CP_Elec_6.3x5.3";1;"47µF";;;
66;"P20";"Con_RS232_TTL";1;"TTL/RS232";;;
67;"U2";"SOP4";1;"TLP290";;;
68;"U8";"SO-16-DS3231";1;"DS3231";;;
69;"D4,D3";"D_SCD80_HandSoldering";2;"LL4148";;;
70;"REF**";"SOIC-Micro8";1;"SOIC-Micro8";;;
71;"P7";"Pin_Header_Straight_2x05_Pitch2.54mm";1;"SPIX";;;
