"Id";"Référence";"Boîtier";"Quantité";"Désignation";"Fournisseur et réf.";
1;"RV5,RV2,RV3,RV4";"Potentiometer_Bourns_3296W_3-8Zoll_Inline_ScrewUp";4;"POT_100k";;;
2;"R33,R36,R27,R30";"Potentiometer_Bourns_3296W_3-8Zoll_Inline_ScrewUp";4;"R_Variable 200K";;;
3;"C45,C46,C43,C44";"C_1206";4;"22nF";;;
4;"P16";"Pin_Header_Straight_2x10_Pitch2.54mm";1;"LCD";;;
5;"P1";"Connectors-2560-core";1;"2560-core";;;
6;"C29,C41,C40,C39,C37,C36,C35,C34,C33,C32,C30,C27,C26,C25,C24,C23,C22,C21,C20,C19,C18,C17,C16,C15,C14,C13,C12,C11,C10,C9,C8,C7,C6";"C_1206";33;"100n";;;
7;"P27";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"Esc/Menu";;;
8;"R35,R28,R5,R6,R26,R29,R31,R32,R34,R37";"R_1206";10;"10K";;;
9;"R22,R18,R19,R20,R23";"R_1206";5;"5.1k";;;
10;"U4";"TO-220_Neutral123_Horizontal";1;"LM7805CT";;;
11;"RV1";"Potentiometer_Triwood_RM-065";1;"200K";;;
12;"P12";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"Stick_left";;;
13;"P25";"Pin_Header_Straight_1x08_Pitch2.54mm";1;"Key_select";;;
14;"P20";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"jack_con";;;
15;"C38,C31";"C_1206";2;"100nF";;;
16;"C5,C4,C3,C2,C1";"C_1206";5;"47n";;;
17;"D1,D6";"D_1206";2;"D";;;
18;"D2,D3,D4,D5";"D_SOD-123";4;"MBR0520";;;
19;"P2";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"Clock";;;
20;"P3";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"Option";;;
21;"P5";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"Vibreur";;;
22;"P6";"Pin_Header_Straight_1x06_Pitch2.54mm";1;"Micro_sd";;;
23;"P7";"Pin_Header_Straight_1x06_Pitch2.54mm";1;"Option";;;
24;"P8";"Pin_Header_Straight_1x05_Pitch2.54mm";1;"Audio";;;
25;"P9";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"SPI";;;
26;"P13";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"Stick_right";;;
27;"P15";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"LCD_I2C";;;
28;"P17";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"Battery LIPO";;;
29;"P18";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"jack_con_IN/OUT";;;
30;"P19";"Pin_Header_Straight_1x08_Pitch2.54mm";1;"Module_TX";;;
31;"P21";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"Sw_power";;;
32;"P23";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"Rot_1";;;
33;"P24";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"Rot_2";;;
34;"P26";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"LCD_Vcc_select";;;
35;"Q1";"SOT-223";1;"MMFT960";;;
36;"Q2";"SOT-223";1;"NDT2955";;;
37;"R1,R2";"R_1206";2;"22K";;;
38;"R7";"R_1206";1;"500";;;
39;"R8";"R_1206";1;"200";;;
40;"R9";"R_1206";1;"6.8K";;;
41;"R10,R12,R15,R17";"R_1206";4;"5.1K";;;
42;"R13,R14";"R_1206";2;"100K";;;
43;"R16";"R_1206";1;"2.7K";;;
44;"R21";"R_1206";1;"6.8k";;;
45;"U1";"SOIC-14_3.9x8.7mm_Pitch1.27mm";1;"4066";;;
46;"U2,U3";"SOP4";2;"TLP290_";;;
47;"U5";"SOT-223";1;"LD1117S33TR";;;
48;"R11";"Potentiometer_Triwood_RM-065";1;"R_Variable";;;
49;"R3";"R_1206";1;"18K";;;
50;"R4";"R_1206";1;"1K";;;
51;"P22";"connector_mini-JQ6500-28P";1;"CONN_JQ6500_28P";;;
52;"C42";"C_1206";1;"6.8nF";;;
53;"R24,R25";"R_1206";2;"33K";;;
54;"U6";"SOIC-14_3.9x8.7mm_Pitch1.27mm";1;"MCP6004";;;
55;"P11";"Pin_Header_Straight_2x08_Pitch2.54mm";1;"Trim";;;
56;"P14";"Pin_Header_Straight_2x08_Pitch2.54mm";1;"Switch";;;
57;"P4";"Pin_Header_Straight_2x05_Pitch2.54mm";1;"Potentiometre";;;
58;"C28";"CP_Radial_D8.0mm_P5.00mm";1;"47nF";;;
