"Id";"Référence";"Boîtier";"Quantité";"Désignation";"Fournisseur et réf";
1;"P10";"Pin_Header_Straight_1x09_Pitch2.54mm";1;"OUTPUT_1X8_GND";;;
2;"P7";"Pin_Header_Straight_1x09_Pitch2.54mm";1;"OUTPUT_1X8_ALIM";;;
3;"IC1";"DIP-14_W7.62mm_LongPads";1;"ATTINY84-P";;;
4;"P5";"Pin_Header_Straight_1x09_Pitch2.54mm";1;"OUTPUT_1X8";;;
5;"C1";"C_1206";1;"100nF";;;
6;"C2,C3";"C_1206";2;"22pF";;;
7;"R2";"R_1206";1;"2,7K";;;
8;"IC2";"DIP-18_W7.62mm_LongPads";1;"ULN2803";;;
9;"P1";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"+V=VRx / +V<VRx";;;
10;"P2";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"XANY_INPUT";;;
11;"P3";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"SERVO";;;
12;"P4";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"DIODE";;;
13;"R1,R3";"R_1206";2;"1K";;;
14;"P8";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"SEL_ALIM";;;
15;"R4,R6,R7,R8,R9,R10,R11,R12,R13";"R_1206";9;"10K";;;
16;"P9";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"FTDI";;;
17;"R5";"R_1206";1;"1M";;;
18;"C4";"CP_Tantalum_Case-D_EIA-7343-31_Hand";1;"220uF";;;
19;"D1";"LED_1206";1;"LED";;;
20;"D2,D3";"D_SOD-123";2;"LL4148";;;
21;"P6";"Faston_V-5_08";1;"VExt";;;
22;"X1";"HC-39";1;"16Mhz";;;
