"Id";"Référence";"Boitier";"Quantité";"Désignation";"Fournisseur et réf.";
1;"R11";"R_1206";1;"1K";;;
2;"Fix1,Fix1,Fix1,Fix1";"MountingHole_3.2mm_M3";4;"MountingHole_3.2mm_M3";;;
3;"P10";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"FTDI";;;
4;"P8";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"XANY_INPUT";;;
5;"P11";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"ICSP";;;
6;"P2";"Pin_Header_Straight_1x09_Pitch2.54mm";1;"OUTPUT_9-16_ALIM";;;
7;"P1";"Pin_Header_Straight_1x09_Pitch2.54mm";1;"OUTPUT_9-16";;;
8;"P9";"Pin_Header_Straight_1x09_Pitch2.54mm";1;"OUTPUT_1-8_GND";;;
9;"P5";"Pin_Header_Straight_1x09_Pitch2.54mm";1;"OUTPUT_1-8_ALIM";;;
10;"P4";"Pin_Header_Straight_1x09_Pitch2.54mm";1;"OUTPUT_1-8";;;
11;"U2,U1";"DIP-18_W7.62mm_LongPads";2;"ULN2803";;;
12;"C4,C1,C2,C3,C5";"C_1206";5;"100nF";;;
13;"X1";"HC-39";1;"16Mhz";;;
14;"IC1";"DIP-28_W7.62mm_LongPads";1;"ATMEGA328-P";;;
15;"P3";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"SELECT_ALIM2";;;
16;"P6";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"SELECT_ALIM1";;;
17;"D1";"LED_1206";1;"LED";;;
18;"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10";"R_1206";10;"10K";;;
19;"D2";"D_DO-204AC";1;"1N4001";;;
20;"P12";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"5v/6v";;;
21;"P13,P14";"Pin_Header_Straight_1x02_Pitch2.54mm";2;"ALIM_EXT";;;
22;"P15";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"SERVO";;;
23;"P7";"Faston_V-5_08";1;"ALIM_EXT1";;;
24;"P16";"Faston_V-5_08";1;"GND_EXT";;;
25;"P17";"Faston_V-5_08";1;"ALIM_EXT2";;;
