"Id";"Référence";"Boitier";"Quantité";"Désignation";"Fournisseur et réf.";
1;"D1";"D_DO-201_P15.24mm_Horizontal";1;"DIODE";;;
2;"SW1";"SW_CuK_JS202011CQN_DPDT_Straight";1;"DUAL_SWITCH_INV";;;
3;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"R";;;
4;"F1";"Fuseholder5x20_horiz_open_universal_Type-III";1;"FUSE";;;
5;"P4";"Embase_Din8_Mpx";1;"CONN_01X07";;;
6;"D2";"LED_D3.0mm";1;"LED";;;
7;"P1";"Pin_Header_Angled_1x03_Pitch2.54mm";1;"CONN_01X03";;;
8;"P2";"Pin_Header_Angled_1x05_Pitch2.54mm";1;"CONN_01X05";;;
9;"P3";"Pin_Header_Angled_1x04_Pitch2.54mm";1;"CONN_01X04";;;
10;"A1,B1,C1";"MountingHole_2.2mm_M2";3;"CONN_1";;;
