"Id";"Référence";"Boîtier";"Quantité";"Désignation";"Fournisseur et réf";
1;"P1";"Socket_Strip_Arduino_1x12";1;"Digital";;;
2;"P3,P4";"Socket_Strip_Arduino_1x02";2;"ADC";;;
3;"P2";"Socket_Strip_Arduino_1x12";1;"Analog";;;
4;"C1,C2,C3,C4,C7,C8,C9,C10,C11,C14";"C_1206";10;"100nF";;;
5;"C5,C6";"CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder";2;"10uF";;;
6;"P5";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"GPS";;;
7;"P6";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"HUB/SPORT";;;
8;"P7";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"PPM";;;
9;"P8";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"FUEL";;;
10;"P9";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"RPM";;;
11;"P10";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"VFAS/COURANT";;;
12;"P11";"Pin_Header_Straight_1x05_Pitch2.54mm";1;"GY-86";;;
13;"P12";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"NTC1";;;
14;"P13";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"NTC2";;;
15;"P14";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"ALIM";;;
16;"P15";"Pin_Header_Straight_1x05_Pitch2.54mm";1;"SEQUENCEUR";;;
17;"P16";"Pin_Header_Straight_1x05_Pitch2.54mm";1;"4S";;;
18;"P17";"Pin_Header_Straight_1x10_Pitch2.54mm";1;"ADS1115";;;
19;"P18";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"MS4525DO";;;
20;"P19";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"MPXV7002DP";;;
21;"R1,R3,R5";"R_1206";3;"10K";;;
22;"R4";"R_1206";1;"12K";;;
23;"R7";"R_1206";1;"8,2K";;;
24;"R8";"R_1206";1;"22K";;;
25;"R9";"R_1206";1;"27K";;;
26;"R10";"R_1206";1;"220";;;
27;"R11";"R_1206";1;"0";;;
