"Id";"Référence";"Boitier";"Quantité";"Désignation";"Fournisseur et réf.";
1;"U1";"DIP-8_W7.62mm";1;"ATtiny85";;;
2;"J1";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"Xany_Input";;;
3;"J2";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"S";;;
4;"J3";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"VRx";;;
5;"J4";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"GND";;;
6;"J5";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"5v/6v";;;
7;"C1,C2";"C_Disc_D3.0mm_W2.0mm_P2.50mm";2;"22pF";;;
8;"D1,D2";"D_A-405_P2.54mm_Vertical_KathodeUp";2;"1N4148";;;
9;"R1,R2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";2;"1K";;;
10;"C3";"C_Disc_D3.0mm_W2.0mm_P2.50mm";1;"100nF";;;
11;"Y1";"HC-39";1;"16Mhz";;;
12;"J6";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"FTDI";;;
13;"R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";1;"10K";;;
14;"J7";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"FTDI_3";;;
